-----|NEW SCRAPPING APP|-------------
Started at: Tue Dec 15 21:58:23 CET 2020
Initial data load file: ..//mm-IMDb-database//imbd-data//MovieGenreIGC_v3.xlsx
-------------------------------------
-----|EXCEL SCRAPPING STATISTICS|----
Scrapping rows from 0 to 9000 [total rows = 39966]
Successful Excel scraps: 8971/9000
-------------------------------------
-----|STARTING WEB SCRAPPING|-----
--------|Mode: full scrap|--------
Scrapped film: 30202 (6 seconds)
Scrapped film: 49291 (6 seconds)
Scrapped film: 72317 (7 seconds)
Scrapped film: 60893 (7 seconds)
Scrapped film: 41609 (7 seconds)
Scrapped film: 22409 (8 seconds)
Scrapped film: 67992 (8 seconds)
Scrapped film: 35244 (9 seconds)
Scrapped film: 30216 (6 seconds)
Scrapped film: 49293 (7 seconds)
Scrapped film: 41610 (7 seconds)
Scrapped film: 60897 (7 seconds)
Scrapped film: 72325 (9 seconds)
Scrapped film: 67995 (7 seconds)
Scrapped film: 35250 (6 seconds)
Scrapped film: 22430 (9 seconds)
Scrapped film: 30225 (6 seconds)
Scrapped film: 49301 (6 seconds)
Scrapped film: 68000 (5 seconds)
Scrapped film: 60899 (7 seconds)
Scrapped film: 41615 (8 seconds)
Scrapped film: 72342 (7 seconds)
Scrapped film: 35252 (7 seconds)
Scrapped film: 22436 (8 seconds)
Scrapped film: 30241 (6 seconds)
Scrapped film: 68011 (6 seconds)
Scrapped film: 49302 (7 seconds)
Scrapped film: 41622 (7 seconds)
Scrapped film: 60901 (7 seconds)
Scrapped film: 72348 (6 seconds)
Scrapped film: 35258 (7 seconds)
Scrapped film: 30252 (6 seconds)
Scrapped film: 22440 (7 seconds)
Scrapped film: 49314 (6 seconds)
Scrapped film: 68014 (6 seconds)
Scrapped film: 72349 (5 seconds)
Scrapped film: 60903 (6 seconds)
Scrapped film: 41634 (7 seconds)
Scrapped film: 35259 (7 seconds)
Scrapped film: 30254 (6 seconds)
Scrapped film: 22453 (7 seconds)
Scrapped film: 72351 (5 seconds)
Scrapped film: 68022 (7 seconds)
Scrapped film: 60908 (6 seconds)
Scrapped film: 49322 (8 seconds)
Scrapped film: 41644 (6 seconds)
Scrapped film: 35262 (7 seconds)
Scrapped film: 30265 (7 seconds)
Scrapped film: 72353 (5 seconds)
Scrapped film: 22454 (7 seconds)
Scrapped film: 60921 (6 seconds)
Scrapped film: 68024 (6 seconds)
Scrapped film: 41650 (5 seconds)
Scrapped film: 49357 (7 seconds)
Scrapped film: 72355 (4 seconds)
Scrapped film: 35272 (7 seconds)
Scrapped film: 30277 (7 seconds)
Scrapped film: 22458 (7 seconds)
Scrapped film: 41662 (6 seconds)
Scrapped film: 60934 (7 seconds)
Scrapped film: 68068 (7 seconds)
Scrapped film: 49358 (6 seconds)
Scrapped film: 72362 (5 seconds)
